Inspection_ID (unique),MORTALITY_CENTER_ID,INSPECTION_DATE,INSPECTION_DECADE,INSPECTION_YEAR,SPECIES,LATITUDE,LONGITUDE,LANDOWNER_TYPE,OAK_WILT_CONFIRMED,SYMPTOM_VEINAL_NECROSIS,SYMPTOM_MORTALITY_PATTERN
,5758,8/24/86,1980s,1986,Live Oak,30.318636,-97.766907,Unknown,Yes,,
,5723,3/11/87,1980s,1987,Live Oak,30.263226,-97.804992,Unknown,Yes,Yes,
,5782,3/17/88,1980s,1988,Live Oak,30.247574,-97.759786,Unknown,Yes,,
,5807,5/6/88,1980s,1988,Live Oak,30.229521,-97.859917,Unknown,Yes,Yes,
,5689,12/6/88,1980s,1988,Live Oak,30.388368,-97.687027,Unknown,Yes,Yes,
,5800,5/30/89,1980s,1989,Live Oak,30.242403,-97.826803,Unknown,Yes,Yes,Yes
,5769,7/6/89,1980s,1989,Live Oak,30.356619,-97.767053,Unknown,Yes,,
,5776,9/21/89,1980s,1989,Live Oak,30.251062,-97.785271,Unknown,Yes,Yes,
,5755,10/11/89,1980s,1989,Live Oak,30.296323,-97.777386,Unknown,Yes,Yes,
,14556,10/24/89,1980s,1989,Live Oak,30.199125,-97.818824,Unknown,Yes,Yes,
,16767,10/24/89,1980s,1989,Live Oak,30.36022,-97.767088,Unknown,Yes,Yes,
,5702,11/8/89,1980s,1989,Live Oak,30.249734,-97.74457,Unknown,Yes,Yes,
,5668,11/13/89,1980s,1989,Live Oak,30.420997,-97.728185,Unknown,Yes,,
,16675,12/1/89,1980s,1989,Live Oak,30.198129,-97.794111,Unknown,Yes,Yes,
,5769,1/30/90,1990s,1990,Live Oak,30.360663,-97.767651,Unknown,Yes,Yes,
,5769,6/1/90,1990s,1990,Live Oak,30.359687,-97.769041,Unknown,Yes,,
,16800,6/1/90,1990s,1990,Live Oak,30.43336,-97.805773,Unknown,Yes,,Yes
,16851,6/1/90,1990s,1990,Live Oak,30.367083,-97.759882,Unknown,Yes,,
,5752,6/4/90,1990s,1990,Live Oak,30.279285,-97.75389,Unknown,Yes,,
,5784,6/6/90,1990s,1990,Live Oak,30.220251,-97.780899,Unknown,Yes,Yes,Yes
,5804,6/13/90,1990s,1990,Live Oak,30.241765,-97.852763,Unknown,Yes,,
,5804,6/13/90,1990s,1990,Live Oak,30.237438,-97.847758,Unknown,Yes,Yes,
,5755,6/19/90,1990s,1990,Live Oak,30.295916,-97.777216,Unknown,Yes,,
,5812,8/7/90,1990s,1990,Live Oak,30.211279,-97.848848,Unknown,Yes,Yes,Yes
,5668,8/13/90,1990s,1990,Live Oak,30.426266,-97.730005,Unknown,Yes,Yes,Yes
,5668,8/14/90,1990s,1990,Live Oak,30.421556,-97.731233,Unknown,Yes,,Yes
,5783,8/15/90,1990s,1990,"Live Oak, Red Oak",30.238888,-97.776942,Unknown,Yes,Yes,Yes
,5807,8/16/90,1990s,1990,Live Oak,30.221477,-97.854102,Unknown,Yes,Yes,
,5807,8/16/90,1990s,1990,Live Oak,30.221477,-97.854102,Unknown,Yes,Yes,
,5807,8/16/90,1990s,1990,Live Oak,30.221477,-97.854102,Unknown,Yes,Yes,
,5755,8/23/90,1990s,1990,Live Oak,30.296925,-97.777057,Unknown,Yes,Yes,
,5724,9/6/90,1990s,1990,"Live Oak, Red Oak",30.268769,-97.797401,Unknown,Yes,Yes,Yes
,5771,9/6/90,1990s,1990,Live Oak,30.298606,-97.754742,Unknown,Yes,Yes,
,16759,9/17/90,1990s,1990,Live Oak,30.286011,-97.771258,Unknown,Yes,Yes,Yes
,5759,9/18/90,1990s,1990,Live Oak,30.326907,-97.768713,Unknown,Yes,Yes,
,16759,9/18/90,1990s,1990,"Live Oak, Red Oak",30.288435,-97.769809,Unknown,Yes,Yes,Yes
,5755,9/19/90,1990s,1990,Live Oak,30.296262,-97.777261,Unknown,Yes,Yes,
,5804,9/24/90,1990s,1990,Live Oak,30.240484,-97.851692,Unknown,Yes,Yes,
,5807,9/24/90,1990s,1990,Live Oak,30.228672,-97.859242,Unknown,Yes,,
,5807,9/24/90,1990s,1990,Live Oak,30.22814,-97.858749,Unknown,Yes,,
,5807,9/24/90,1990s,1990,"Live Oak, Blackjack Oak",30.232742,-97.857668,Unknown,Yes,Yes,Yes
,5794,10/4/90,1990s,1990,Live Oak,30.194902,-97.814012,Unknown,Yes,,
,14522,10/4/90,1990s,1990,Live Oak,30.221886,-97.880401,Unknown,Yes,Yes,
,16738,10/4/90,1990s,1990,Live Oak,30.179348,-97.815455,Unknown,Yes,,
,16784,10/4/90,1990s,1990,Live Oak,30.395187,-97.692901,Unknown,Yes,,
,5892,10/15/90,1990s,1990,Live Oak,30.228201,-97.789379,Unknown,Yes,Yes,
,16767,10/18/90,1990s,1990,Live Oak,30.362231,-97.768665,Unknown,Yes,,
,5769,10/19/90,1990s,1990,Live Oak,30.360877,-97.770517,Unknown,Yes,,Yes
,5752,4/24/91,1990s,1991,Live Oak,30.278675,-97.772884,Unknown,Yes,Yes,Yes
,5776,4/26/91,1990s,1991,Live Oak,30.244816,-97.786653,Unknown,Yes,,
,16809,5/2/91,1990s,1991,Live Oak,30.276327,-97.823208,Unknown,Yes,Yes,Yes
,16826,5/2/91,1990s,1991,Live Oak,30.430543,-97.768265,Unknown,Yes,Yes,
,5668,5/6/91,1990s,1991,Live Oak,30.423776,-97.730549,Unknown,Yes,Yes,Yes
,14526,5/13/91,1990s,1991,Live Oak,30.192818,-97.889371,Unknown,Yes,Yes,Yes
,5748,5/14/91,1990s,1991,Live Oak,30.256451,-97.756599,Unknown,Yes,Yes,
,16819,5/23/91,1990s,1991,"Live Oak, Red Oak",30.388279,-97.683422,Unknown,Yes,,
,5752,6/6/91,1990s,1991,"Live Oak, Red Oak",30.28496,-97.766562,Unknown,Yes,,Yes
,5673,6/7/91,1990s,1991,Live Oak,30.417606,-97.726447,Unknown,Yes,,
,5673,6/7/91,1990s,1991,Live Oak,30.417727,-97.72658,Unknown,Yes,,
,5673,6/7/91,1990s,1991,Live Oak,30.418,-97.72677,Unknown,Yes,,
,5771,6/7/91,1990s,1991,Live Oak,30.302609,-97.77325,Unknown,Yes,Yes,
,5734,7/31/91,1990s,1991,Live Oak,30.181431,-97.826723,Unknown,Yes,Yes,Yes
,5734,7/31/91,1990s,1991,Live Oak,30.181431,-97.826723,Unknown,Yes,Yes,Yes
,5752,7/31/91,1990s,1991,Live Oak,30.27858,-97.773567,Unknown,Yes,Yes,Yes
,5759,8/1/91,1990s,1991,Live Oak,30.327668,-97.769108,Unknown,Yes,,Yes
,5670,8/6/91,1990s,1991,Live Oak,30.424258,-97.727894,Unknown,Yes,Yes,Yes
,5783,8/21/91,1990s,1991,Live Oak,30.231677,-97.784296,Unknown,Yes,Yes,
,14602,8/23/91,1990s,1991,Live Oak,30.341682,-97.784329,Unknown,Yes,Yes,Yes
,5776,12/19/91,1990s,1991,Live Oak,30.242452,-97.777813,Unknown,Yes,Yes,Yes
,5702,12/20/91,1990s,1991,Live Oak,30.280756,-97.738137,Unknown,Yes,Yes,
,5743,1/23/92,1990s,1992,"Live Oak, Red Oak",30.252667,-97.791031,Unknown,Yes,Yes,
,5702,2/7/92,1990s,1992,Live Oak,30.250129,-97.744419,Unknown,Yes,Yes,
,5721,3/12/92,1990s,1992,Live Oak,30.269238,-97.813057,Unknown,Yes,Yes,Yes
,5782,3/19/92,1990s,1992,"Live Oak, Red Oak",30.236707,-97.767178,Unknown,Yes,Yes,Yes
,5783,4/21/92,1990s,1992,Live Oak,30.230066,-97.77854,Unknown,Yes,Yes,Yes
,5743,4/22/92,1990s,1992,"Live Oak, Red Oak",30.253819,-97.78992,Unknown,Yes,,
,5757,4/25/92,1990s,1992,Live Oak,30.324757,-97.773006,Unknown,Yes,Yes,Yes
,16731,5/14/92,1990s,1992,Live Oak,30.280963,-97.739424,Unknown,Yes,Yes,Yes
,16675,5/18/92,1990s,1992,Live Oak,30.197115,-97.794984,Unknown,Yes,Yes,Yes
,5771,6/11/92,1990s,1992,Live Oak,30.304292,-97.7696,Unknown,Yes,Yes,
,16790,7/2/92,1990s,1992,Live Oak,30.291806,-97.737735,Unknown,Yes,Yes,
,5802,7/7/92,1990s,1992,Live Oak,30.245026,-97.825219,Unknown,Yes,Yes,
,5771,8/6/92,1990s,1992,Live Oak,30.302684,-97.779809,Unknown,Yes,Yes,Yes
,5723,9/28/92,1990s,1992,Live Oak,30.263944,-97.803986,Unknown,Yes,Yes,
,14504,9/28/92,1990s,1992,Live Oak,30.170867,-97.794107,Unknown,Yes,Yes,
,5800,1/16/93,1990s,1993,Live Oak,30.240959,-97.825376,Unknown,Yes,Yes,Yes
,5804,3/3/93,1990s,1993,"Live Oak, Red Oak",30.240077,-97.851985,Public,Yes,Yes,Yes
,5668,3/5/93,1990s,1993,Live Oak,30.424776,-97.730654,Unknown,Yes,Yes,
,5759,3/5/93,1990s,1993,Live Oak,30.32675,-97.767347,Unknown,Yes,Yes,
,5731,3/19/93,1990s,1993,Live Oak,30.17931,-97.814398,Unknown,Yes,Yes,
,5710,5/11/93,1990s,1993,Live Oak,30.43331,-97.772634,Unknown,Yes,Yes,Yes
,5802,5/25/93,1990s,1993,Live Oak,30.245076,-97.825496,Unknown,Yes,Yes,
,16759,5/25/93,1990s,1993,Live Oak,30.284668,-97.770894,Unknown,Yes,Yes,Yes
,5731,5/26/93,1990s,1993,Live Oak,30.186102,-97.816038,Public,Yes,Yes,
,5729,6/2/93,1990s,1993,Live Oak,30.178522,-97.808722,Unknown,Yes,Yes,
,16753,7/14/93,1990s,1993,Live Oak,30.399887,-97.701874,Unknown,Yes,Yes,
,16749,7/28/93,1990s,1993,Live Oak,30.417276,-97.740044,Unknown,Yes,Yes,
,5849,7/29/93,1990s,1993,Live Oak,30.434772,-97.714608,Unknown,Yes,Yes,
,5771,8/11/93,1990s,1993,Live Oak,30.295556,-97.764408,Unknown,Yes,Yes,
,5734,8/13/93,1990s,1993,"Live Oak, Red Oak",30.181816,-97.82834,Unknown,Yes,Yes,Yes
,8445,8/16/93,1990s,1993,Live Oak,30.346398,-97.741334,Unknown,Yes,Yes,
,5820,8/27/93,1990s,1993,Live Oak,30.201421,-97.844142,Unknown,Yes,Yes,
,5758,10/19/93,1990s,1993,Live Oak,30.319394,-97.747279,Unknown,Yes,Yes,
,16699,10/25/93,1990s,1993,Live Oak,30.332351,-97.762582,Unknown,Yes,Yes,
,16748,10/25/93,1990s,1993,Live Oak,30.418835,-97.723303,Unknown,Yes,Yes,
,5668,12/2/93,1990s,1993,Live Oak,30.423776,-97.730549,Unknown,Yes,Yes,
,16675,12/15/93,1990s,1993,Live Oak,30.195546,-97.794381,Unknown,Yes,Yes,Yes
,5769,2/8/94,1990s,1994,Live Oak,30.362139,-97.767071,Unknown,Yes,Yes,
,14532,2/11/94,1990s,1994,Live Oak,30.38546,-97.757074,Unknown,Yes,Yes,Yes
,5788,3/3/94,1990s,1994,Live Oak,30.214378,-97.80208,Unknown,Yes,Yes,
,5788,3/3/94,1990s,1994,Live Oak,30.214069,-97.802433,Unknown,Yes,Yes,Yes
,5794,3/3/94,1990s,1994,Live Oak,30.194745,-97.814275,Unknown,Yes,Yes,Yes
,5669,3/10/94,1990s,1994,Live Oak,30.422352,-97.735461,Unknown,Yes,Yes,Yes
,16768,3/10/94,1990s,1994,Live Oak,30.366485,-97.761451,Unknown,Yes,Yes,Yes
,5755,3/17/94,1990s,1994,Live Oak,30.296925,-97.777057,Unknown,Yes,Yes,Yes
,5771,3/22/94,1990s,1994,Live Oak,30.297462,-97.772809,Unknown,Yes,Yes,
,16684,3/30/94,1990s,1994,Live Oak,30.223599,-97.859626,Unknown,Yes,Yes,
,5776,4/12/94,1990s,1994,Live Oak,30.247474,-97.783428,Unknown,Yes,Yes,
,5681,4/19/94,1990s,1994,Live Oak,30.411273,-97.677799,Unknown,Yes,Yes,Yes
,16684,4/27/94,1990s,1994,Live Oak,30.222444,-97.85976,Unknown,Yes,Yes,
,16684,4/27/94,1990s,1994,Live Oak,30.222371,-97.859428,Unknown,Yes,Yes,
,16684,4/27/94,1990s,1994,Live Oak,30.223633,-97.859641,Unknown,Yes,Yes,
,5743,4/28/94,1990s,1994,"Live Oak, Red Oak",30.252696,-97.791051,Unknown,Yes,Yes,Yes
,5743,4/28/94,1990s,1994,Live Oak,30.252696,-97.791051,Unknown,Yes,Yes,Yes
,5743,5/3/94,1990s,1994,Live Oak,30.253675,-97.790426,Unknown,Yes,Yes,Yes
,5755,5/26/94,1990s,1994,Live Oak,30.297815,-97.775913,Unknown,Yes,Yes,
,16761,6/8/94,1990s,1994,Live Oak,30.167074,-97.742063,Unknown,Yes,Yes,
,5735,6/10/94,1990s,1994,Live Oak,30.182346,-97.8497,Unknown,Yes,Yes,
,14635,6/10/94,1990s,1994,Live Oak,30.176991,-97.812268,Unknown,Yes,Yes,
,16684,6/10/94,1990s,1994,Live Oak,30.222359,-97.85921,Unknown,Yes,Yes,
,16684,6/10/94,1990s,1994,Live Oak,30.222444,-97.85976,Unknown,Yes,Yes,
,16840,6/13/94,1990s,1994,Live Oak,30.394961,-97.767568,Unknown,Yes,Yes,
,5668,6/20/94,1990s,1994,Live Oak,30.421933,-97.730398,Unknown,Yes,Yes,
,16675,6/25/94,1990s,1994,Live Oak,30.197359,-97.795504,Unknown,Yes,Yes,
