Inspection_ID (unique),LATITUDE,LONGITUDE,OAK_WILT_CONFIRMED,INSPECTION_DATE,SPECIES
,30.196189,-97.811881,Yes,2024-02-05,Live Oak
,30.424241,-97.761444,Yes,2024-03-13,Live Oak
,30.206296,-97.879835,Yes,2024-05-14,Live Oak
,30.222814,-97.849193,Yes,2024-05-29,Live Oak
,30.327947,-97.749058,Yes,2024-06-05,Live Oak
,30.204716,-97.856191,Yes,2024-07-11,Live Oak
,30.149592,-97.808176,Yes,2024-07-12,Live Oak
,30.232093,-97.757131,Yes,2024-07-24,Live Oak
,30.232093,-97.757131,Yes,2024-07-24,Live Oak
,30.355093,-97.767242,Yes,2024-07-24,Live Oak
,30.263367,-97.803622,Yes,2024-08-30,Live Oak
,30.209209,-97.87973,Yes,2024-09-17,Live Oak
,30.225473,-97.790848,Yes,2024-10-04,Live Oak
