cluster_id,original_label,LATITUDE,LONGITUDE,INSPECTION_YEAR,INSPECTION_DATE,SPECIES,LANDOWNER_TYPE
1,0,30.296323,-97.777386,1989,1989-10-11,Live Oak,Unknown
1,0,30.295916,-97.777216,1990,1990-06-19,Live Oak,Unknown
1,0,30.296262,-97.777261,1990,1990-09-19,Live Oak,Unknown
3,4,30.245026,-97.825219,1992,1992-07-07,Live Oak,Unknown
3,4,30.245076,-97.825496,1993,1993-05-25,Live Oak,Unknown
3,4,30.245467,-97.82527,1995,1995-10-05,Live Oak,Unknown
3,4,30.24549,-97.82557,1995,1995-10-05,Live Oak,Unknown
3,4,30.245492,-97.825841,1997,1997-04-24,Live Oak,Unknown
3,4,30.245338,-97.826105,1999,1999-05-05,Live Oaks,Unknown
5,7,30.42038,-97.730316,1994,1994-09-23,Live Oak,Unknown
5,7,30.42038,-97.730316,1995,1995-04-05,Live Oak,Unknown
5,7,30.42021,-97.730327,1995,1995-07-18,Live Oak,Unknown
6,8,30.391805,-97.763004,1995,1995-06-20,Live Oak,Unknown
6,8,30.391884,-97.762795,1995,1995-06-20,"Live Oak, Red Oak",Unknown
6,8,30.392105,-97.762712,1995,1995-06-21,Live Oak,Unknown
6,8,30.391805,-97.763004,1998,1998-05-08,Live Oak,Unknown
8,10,30.240076,-97.85261,1996,1996-04-01,Live Oak,Unknown
8,10,30.240076,-97.85261,1996,1996-06-11,Live Oak,Unknown
8,10,30.239826,-97.852801,1996,1996-10-29,Live Oak,Unknown
8,10,30.239395,-97.852395,1997,1997-02-11,Live Oak,Unknown
8,10,30.239395,-97.852395,1998,1998-06-05,Live Oak,Unknown
8,10,30.239835,-97.852127,1999,1999-09-07,Live Oaks,Unknown
8,10,30.239269,-97.852929,2000,2000-06-02,Live Oak,Unknown
8,10,30.239292,-97.852934,2001,2001-08-14,Live Oak,Unknown
8,10,30.240077,-97.851985,2001,2001-10-06,Live Oak,Public
9,12,30.284668,-97.770894,1993,1993-05-25,Live Oak,Unknown
9,12,30.284595,-97.770605,1996,1996-10-02,Live Oak,Unknown
9,12,30.285032,-97.770402,1998,1998-02-03,Live Oak,Unknown
11,14,30.246845,-97.784126,1997,1997-05-05,Live Oak,Unknown
11,14,30.246845,-97.784126,1999,1999-03-26,Live Oaks,Unknown
11,14,30.246677,-97.784269,1999,1999-05-12,Live Oaks,Unknown
11,14,30.246845,-97.784126,2001,2001-04-04,Live Oak,Unknown
11,14,30.246314,-97.784117,2001,2001-05-29,Live Oak,Unknown
12,15,30.237628,-97.806477,1997,1997-05-14,Live Oak,Unknown
12,15,30.237628,-97.806477,1999,1999-07-21,Live Oaks,Unknown
12,15,30.237509,-97.806277,1999,1999-08-04,Live Oaks,Unknown
13,16,30.226705,-97.863326,1997,1997-07-15,Live Oak,Unknown
13,16,30.226268,-97.863196,1999,1999-06-10,Live Oaks,Unknown
13,16,30.226245,-97.863722,1999,1999-06-10,Live Oaks,Unknown
13,16,30.226241,-97.863541,1999,1999-07-07,Live Oaks,Unknown
13,16,30.226268,-97.863196,2000,2000-02-14,Live Oak,Unknown
14,17,30.193281,-97.805402,1998,1998-03-04,"Live Oak, Red Oak",Unknown
14,17,30.193155,-97.805986,2000,2000-03-31,Live Oak,Unknown
14,17,30.193155,-97.805986,2000,2000-05-03,Live Oak,Unknown
15,18,30.202467,-97.815733,1998,1998-07-28,Live Oak,Unknown
15,18,30.202945,-97.815745,1998,1998-07-28,Live Oak,Unknown
15,18,30.202828,-97.815911,1999,1999-02-17,Live Oak,Unknown
15,18,30.202493,-97.815531,2000,2000-03-02,Live Oak,Unknown
15,18,30.202771,-97.816235,2000,2000-06-02,Live Oak,Unknown
15,18,30.202962,-97.816289,2001,2001-08-16,Live Oak,Unknown
16,19,30.178424,-97.843819,1998,1998-10-12,"Live Oaks, Red Oaks",Unknown
16,19,30.178316,-97.843883,2000,2000-02-22,Live Oak,Unknown
16,19,30.177993,-97.844072,2000,2000-03-21,Live Oak,Unknown
16,19,30.178482,-97.843643,2001,2001-06-06,Live Oak,Unknown
17,21,30.355163,-97.766316,1999,1999-03-24,Live Oaks,Unknown
17,21,30.355339,-97.766713,1999,1999-06-30,Live Oaks,Unknown
17,21,30.355439,-97.765538,2000,2000-08-22,Live Oak,Unknown
17,21,30.355482,-97.766207,2001,2001-03-26,Live Oak,Unknown
17,21,30.355086,-97.765772,2001,2001-07-09,Live Oak,Unknown
18,22,30.237594,-97.807374,1995,1995-05-26,Live Oak,Unknown
18,22,30.237594,-97.807374,1999,1999-04-28,Live Oaks,Unknown
18,22,30.237672,-97.807562,2000,2000-07-18,Live Oak,Unknown
19,23,30.207531,-97.880142,1999,1999-06-28,Live Oaks,Unknown
19,23,30.208175,-97.880415,2000,2000-02-29,Live Oak,Unknown
19,23,30.207799,-97.880612,2001,2001-05-16,Live Oak,Unknown
19,23,30.207326,-97.880636,2001,2001-09-10,Live Oak,Unknown
20,24,30.227879,-97.865057,1999,1999-04-08,Live Oaks,Unknown
20,24,30.227455,-97.864446,1999,1999-08-26,Live Oaks,Unknown
20,24,30.227423,-97.864936,2000,2000-02-01,Live Oak,Unknown
21,25,30.242291,-97.734498,2006,2006-05-01,Live Oaks,Unknown
21,25,30.241794,-97.734397,2007,2007-07-31,Live Oak,Unknown
21,25,30.242701,-97.734087,2008,2008-04-07,Live Oak,Unknown
21,25,30.242722,-97.734442,2008,2008-04-07,Live Oak,Unknown
22,26,30.426691,-97.769331,2006,2006-05-02,Live Oaks,Unknown
22,26,30.426879,-97.769395,2006,2006-08-30,Live Oak,Unknown
22,26,30.426691,-97.769331,2010,2010-09-14,Live Oaks,Unknown
23,28,30.243462,-97.832132,2006,2006-06-07,Live Oak,Unknown
23,28,30.24324,-97.831768,2008,2008-11-13,Live Oak,Unknown
23,28,30.24324,-97.831768,2009,2009-03-03,Live Oak,Unknown
24,29,30.423123,-97.734415,2006,2006-07-11,Live Oak,Unknown
24,29,30.422867,-97.733879,2007,2007-06-01,Live Oak,Private
24,29,30.423499,-97.734681,2008,2008-09-23,Live Oak,Unknown
24,29,30.422561,-97.734104,2008,2008-09-23,Live Oak,Private
25,30,30.206388,-97.844415,2006,2006-12-13,Live Oak,Unknown
25,30,30.206599,-97.844824,2007,2007-06-13,Live Oak,Unknown
25,30,30.206642,-97.844922,2007,2007-10-02,Live Oak,Unknown
25,30,30.206969,-97.844649,2008,2008-04-21,Live Oak,Unknown
25,30,30.207397,-97.844378,2010,2010-08-16,Live Oak,Unknown
25,30,30.207479,-97.844955,2011,2011-02-15,Live Oak,Unknown
25,30,30.207397,-97.844378,2011,2011-06-02,Live Oak,Unknown
25,30,30.207451,-97.844047,2014,2014-08-19,Live Oak,Unknown
26,31,30.42621,-97.72065,2006,2006-12-20,Live Oak,Unknown
26,31,30.426445,-97.721112,2007,2007-01-24,Live Oak,Unknown
26,31,30.426743,-97.720914,2007,2007-08-09,Live Oak,Unknown
26,31,30.426594,-97.721003,2010,2010-02-22,Live Oak,Unknown
26,31,30.426445,-97.721112,2011,2011-08-02,Live Oak,Unknown
26,31,30.426371,-97.721674,2011,2011-09-26,Live Oak,Unknown
27,32,30.422465,-97.732915,2007,2007-02-12,Live Oak,Unknown
27,32,30.42343,-97.73275,2007,2007-05-24,Live Oak,Unknown
27,32,30.422448,-97.7326,2009,2009-05-18,Live Oak,Unknown
27,32,30.423376,-97.73251,2009,2009-06-09,Live Oak,Unknown
27,32,30.42343,-97.73275,2009,2009-06-09,"Live Oak, Red Oak",Unknown
27,32,30.422424,-97.732618,2010,2010-01-11,Live Oak,Unknown
27,32,30.422465,-97.732915,2010,2010-01-11,Live Oak,Unknown
27,32,30.422955,-97.732509,2010,2010-08-23,Live Oak,Unknown
27,32,30.42375,-97.732142,2011,2011-04-07,Live Oak,Unknown
27,32,30.422504,-97.732618,2011,2011-04-27,Live Oak,Unknown
27,32,30.422597,-97.733299,2012,2012-04-03,Live Oak,Unknown
28,33,30.263473,-97.805209,2007,2007-05-08,Live Oak,Unknown
28,33,30.263633,-97.805398,2007,2007-07-24,Live Oak,Unknown
28,33,30.263633,-97.805398,2008,2008-07-28,Live Oak,Unknown
28,33,30.263844,-97.805089,2008,2008-07-28,Live Oak,Unknown
28,33,30.263473,-97.805209,2008,2008-08-20,Live Oak,Unknown
29,34,30.422712,-97.728319,2007,2007-05-15,Live Oak,Unknown
29,34,30.422836,-97.728286,2007,2007-05-24,Live Oak,Unknown
29,34,30.422524,-97.728415,2009,2009-04-28,Live Oak,Unknown
29,34,30.42261,-97.728505,2010,2010-04-20,Live Oak,Unknown
31,36,30.426473,-97.719395,2007,2007-06-11,Live Oak,Unknown
31,36,30.426673,-97.71881,2007,2007-06-26,Live Oak,Unknown
31,36,30.426396,-97.718991,2008,2008-06-03,Live Oak,Unknown
31,36,30.426473,-97.719395,2010,2010-10-05,Live Oak,Unknown
31,36,30.425946,-97.719313,2011,2011-03-31,Live Oak,Unknown
33,39,30.251868,-97.778558,2007,2007-06-11,Live Oak,Unknown
33,39,30.251868,-97.778558,2008,2008-04-02,Live Oak,Unknown
33,39,30.251357,-97.778434,2011,2011-04-14,Live Oak,Unknown
33,39,30.251309,-97.778046,2011,2011-04-25,Live Oak,Public
33,39,30.251303,-97.778039,2011,2011-04-25,Live Oak,Municipal - ROW
33,39,30.251754,-97.778212,2011,2011-06-07,Live Oak,Unknown
34,41,30.248132,-97.746,2008,2008-06-23,Live Oak,Unknown
34,41,30.248192,-97.745589,2009,2009-11-03,Live Oak,Unknown
34,41,30.248192,-97.745589,2010,2010-11-10,Live Oak,Unknown
35,42,30.414706,-97.682487,2008,2008-09-01,Live Oak,Private
35,42,30.414546,-97.682054,2008,2008-09-01,Live Oak,Private
