cluster_count,mean_cluster_size,median_cluster_size,avg_unique_years,avg_year_span,noise_pct,min_unique_years,min_samples,eps_m,temporal_scale_m,cluster_example,score
79,7.848101265822785,4.0,3.050632911392405,3.2658227848101267,57.535885167464116,2,3,80.0,20.0,"[{'raw_label': 0, 'size': 3, 'unique_years': 2, 'year_span': 1, 'min_year': 1989, 'max_year': 1990}, {'raw_label': 3, 'size': 3, 'unique_years': 2, 'year_span': 2, 'min_year': 1992, 'max_year': 1994}, {'raw_label': 4, 'size': 6, 'unique_years': 5, 'year_span': 7, 'min_year': 1992, 'max_year': 1999}]",7892.257373871964
69,8.217391304347826,4.0,2.927536231884058,2.6956521739130435,60.04784688995215,2,3,80.0,25.0,"[{'raw_label': 0, 'size': 3, 'unique_years': 2, 'year_span': 1, 'min_year': 1989, 'max_year': 1990}, {'raw_label': 3, 'size': 3, 'unique_years': 2, 'year_span': 2, 'min_year': 1992, 'max_year': 1994}, {'raw_label': 4, 'size': 6, 'unique_years': 5, 'year_span': 7, 'min_year': 1992, 'max_year': 1999}]",6889.68622148256
62,8.387096774193548,4.0,2.693548387096774,2.064516129032258,62.44019138755981,2,3,80.0,30.0,"[{'raw_label': 0, 'size': 3, 'unique_years': 2, 'year_span': 1, 'min_year': 1989, 'max_year': 1990}, {'raw_label': 3, 'size': 3, 'unique_years': 2, 'year_span': 2, 'min_year': 1992, 'max_year': 1994}, {'raw_label': 5, 'size': 3, 'unique_years': 2, 'year_span': 1, 'min_year': 1994, 'max_year': 1995}]",6186.296033338479
60,8.166666666666666,4.0,2.716666666666667,2.466666666666667,63.33732057416268,2,3,65.0,20.0,"[{'raw_label': 0, 'size': 3, 'unique_years': 2, 'year_span': 1, 'min_year': 1989, 'max_year': 1990}, {'raw_label': 3, 'size': 3, 'unique_years': 2, 'year_span': 2, 'min_year': 1992, 'max_year': 1994}, {'raw_label': 5, 'size': 3, 'unique_years': 2, 'year_span': 1, 'min_year': 1994, 'max_year': 1995}]",5986.098006379585
52,8.557692307692308,4.0,2.5576923076923075,1.9230769230769231,65.3708133971292,2,3,65.0,25.0,"[{'raw_label': 0, 'size': 3, 'unique_years': 2, 'year_span': 1, 'min_year': 1989, 'max_year': 1990}, {'raw_label': 3, 'size': 3, 'unique_years': 2, 'year_span': 2, 'min_year': 1992, 'max_year': 1994}, {'raw_label': 5, 'size': 3, 'unique_years': 2, 'year_span': 1, 'min_year': 1994, 'max_year': 1995}]",5183.372285609128
46,9.043478260869565,4.0,2.5217391304347827,1.7391304347826086,66.92583732057416,2,3,65.0,30.0,"[{'raw_label': 0, 'size': 3, 'unique_years': 2, 'year_span': 1, 'min_year': 1989, 'max_year': 1990}, {'raw_label': 3, 'size': 3, 'unique_years': 2, 'year_span': 2, 'min_year': 1992, 'max_year': 1994}, {'raw_label': 5, 'size': 3, 'unique_years': 2, 'year_span': 1, 'min_year': 1994, 'max_year': 1995}]",4581.8414291658
39,9.41025641025641,4.0,2.4871794871794872,1.8461538461538463,69.85645933014354,2,3,50.0,20.0,"[{'raw_label': 1, 'size': 3, 'unique_years': 2, 'year_span': 1, 'min_year': 1989, 'max_year': 1990}, {'raw_label': 3, 'size': 3, 'unique_years': 2, 'year_span': 2, 'min_year': 1992, 'max_year': 1994}, {'raw_label': 5, 'size': 3, 'unique_years': 2, 'year_span': 1, 'min_year': 1994, 'max_year': 1995}]",3879.6102318733897
36,9.555555555555555,4.0,2.388888888888889,1.6388888888888888,70.69377990430623,2,3,50.0,25.0,"[{'raw_label': 1, 'size': 3, 'unique_years': 2, 'year_span': 1, 'min_year': 1989, 'max_year': 1990}, {'raw_label': 4, 'size': 3, 'unique_years': 2, 'year_span': 1, 'min_year': 1994, 'max_year': 1995}, {'raw_label': 8, 'size': 4, 'unique_years': 4, 'year_span': 3, 'min_year': 1998, 'max_year': 2001}]",3578.1669989367356
29,9.0,4.0,2.3448275862068964,1.3448275862068966,71.83014354066985,2,3,50.0,30.0,"[{'raw_label': 1, 'size': 3, 'unique_years': 2, 'year_span': 1, 'min_year': 1989, 'max_year': 1990}, {'raw_label': 4, 'size': 3, 'unique_years': 2, 'year_span': 1, 'min_year': 1994, 'max_year': 1995}, {'raw_label': 8, 'size': 4, 'unique_years': 4, 'year_span': 3, 'min_year': 1998, 'max_year': 2001}]",2877.8607902986305
18,9.555555555555555,3.5,2.388888888888889,1.3888888888888888,77.75119617224881,2,3,35.0,20.0,"[{'raw_label': 1, 'size': 3, 'unique_years': 2, 'year_span': 1, 'min_year': 1994, 'max_year': 1995}, {'raw_label': 3, 'size': 3, 'unique_years': 2, 'year_span': 1, 'min_year': 2000, 'max_year': 2001}, {'raw_label': 5, 'size': 4, 'unique_years': 2, 'year_span': 1, 'min_year': 2007, 'max_year': 2008}]",1774.7632908027645
16,9.625,4.0,2.3125,1.3125,78.34928229665071,2,3,35.0,30.0,"[{'raw_label': 1, 'size': 3, 'unique_years': 2, 'year_span': 1, 'min_year': 1994, 'max_year': 1995}, {'raw_label': 3, 'size': 3, 'unique_years': 2, 'year_span': 1, 'min_year': 2000, 'max_year': 2001}, {'raw_label': 5, 'size': 4, 'unique_years': 2, 'year_span': 1, 'min_year': 2007, 'max_year': 2008}]",1573.6691088516745
15,10.8,4.0,2.466666666666667,1.4666666666666666,78.34928229665071,2,3,35.0,25.0,"[{'raw_label': 1, 'size': 3, 'unique_years': 2, 'year_span': 1, 'min_year': 1994, 'max_year': 1995}, {'raw_label': 3, 'size': 3, 'unique_years': 2, 'year_span': 1, 'min_year': 2000, 'max_year': 2001}, {'raw_label': 5, 'size': 4, 'unique_years': 2, 'year_span': 1, 'min_year': 2007, 'max_year': 2008}]",1473.958692185008
13,9.538461538461538,4.0,2.3846153846153846,1.3846153846153846,81.39952153110048,2,3,25.0,20.0,"[{'raw_label': 1, 'size': 3, 'unique_years': 2, 'year_span': 1, 'min_year': 1994, 'max_year': 1995}, {'raw_label': 2, 'size': 3, 'unique_years': 2, 'year_span': 1, 'min_year': 2000, 'max_year': 2001}, {'raw_label': 5, 'size': 3, 'unique_years': 3, 'year_span': 2, 'min_year': 2009, 'max_year': 2011}]",1272.9156238498344
8,11.625,7.0,2.25,1.25,82.71531100478468,2,3,25.0,25.0,"[{'raw_label': 1, 'size': 3, 'unique_years': 2, 'year_span': 1, 'min_year': 1994, 'max_year': 1995}, {'raw_label': 2, 'size': 3, 'unique_years': 2, 'year_span': 1, 'min_year': 2000, 'max_year': 2001}, {'raw_label': 5, 'size': 3, 'unique_years': 3, 'year_span': 2, 'min_year': 2009, 'max_year': 2011}]",768.8923444976076
